fecha,Efectivo,m1,m2,m3
2016-05-31,47566.42675867,91080.87470228999,388485.95095342,421825.50381675
2016-06-30,49720.06084262,92154.17419459,393806.49384109,426678.98867651
2016-07-31,48973.97036235,92865.91854902,395866.98632752,430000.54516132997
2016-08-31,48965.49218388,92855.9129236,398609.38162496,431979.43322728
2016-09-30,47729.14892316,89592.49045524,394557.71768779,428750.46105547
2016-10-31,48101.33132651,92606.55567566,397059.48629914003,430857.3305987
2016-11-30,51529.37832509,95333.10179621,406626.57655607996,441322.65324923
2016-12-31,55426.54085996,102042.83288058991,408241.84379568987,445140.07830921
2017-01-31,50627.77806264,95069.78825782001,404201.32644262,441885.5429533
2017-02-28,48850.97605264,96508.39182955999,410070.22954878997,445932.11248319
2017-03-31,48781.53710295,93478.90210425001,408947.36607295997,445723.51998769
2017-04-30,47939.46051877,91556.36897474999,410771.05567444,450217.73738542997
2017-05-31,48984.53581574,91224.40057266,410754.57997677,446001.70674544
2017-06-30,49245.26439454,93055.39154838,415075.59971902997,452546.81825436
2017-07-31,49775.07707706,94466.79563118,418156.33578241,455912.03462553
2017-08-31,50623.41103504,93627.84845573,416699.18341735,453111.74461943
2017-09-30,49976.55808647,93306.61209462001,414830.79164296,452180.29280736
2017-10-31,50056.16475691,94845.19343099001,417643.26509115007,455392.82732507
2017-11-30,53854.03023905,98064.98117343,428394.58643650997,466984.12420123996
2017-12-31,59497.96004075,108538.74256232,437122.97461386,477656.44609139
2018-01-31,55369.85052907,99628.64715308,428365.32189148,466995.99144701
2018-02-28,54708.93125561,100742.69234335,434322.71962532995,472043.70971901005
2018-03-31,54050.93727853,100115.39535611,435891.2100046,474374.41913722997
2018-04-30,51921.63642209,98209.33525325,433478.14533775,471682.2813035
2018-05-31,52927.27169762,96961.63341769,432300.09589751,470495.9843459
2018-06-30,53558.56356502,98841.16190457,435435.79011183,475431.66727011
2018-07-31,53548.25313547,101095.95942261998,439512.06171519996,480066.50163938996
2018-08-31,53671.53357419,100564.39930517,441587.12589566,480740.36325505
2018-09-30,53646.2882685,100191.52351160001,437095.43834543996,477315.97841663
2018-10-31,56155.32034881,101775.12921086,442508.28681684,480678.03698518
2018-11-30,56535.48779861,105703.62165809,450343.88375548006,491324.5069794
2018-12-31,64377.56213244,116395.81857919,459008.57676795,504403.73715239
2019-01-31,61062.77013335,107764.55071338001,450513.55103004,490944.01701089996
2019-02-28,60422.49208146,108341.49961915,456836.4008451,497634.53439109004
2019-03-31,59049.19303297,108964.86678214,462736.64181649,504081.30898883
2019-04-30,58722.61812123,108820.77222884,463623.77388988,507576.31153485
2019-05-31,59861.73681614,107530.57675254,464368.30014583,506184.25134364003
2019-06-30,61443.6185977,110946.98413941,469979.64794705005,513676.53840951994
2019-07-31,63309.7222697,112086.80113444,473851.68428338,517206.25247292005
2019-08-31,62593.47012658,113852.65153351001,476434.57439244003,520341.86899213
2019-09-30,62877.50965155,114045.30796414,476248.52221996,523692.42028063
2019-10-31,65873.53181506,114869.03489104,480525.42145033,525468.6408859601
2019-11-30,66552.34291327,120837.23646245,493116.94563074,540137.3305129299
2019-12-31,75051.32125866,127881.57369876,498840.46571105,543914.8415981
2020-01-31,70053.89333146,119463.604797,492344.98266386,536960.29913866
2020-02-29,68579.8653762,120475.0046941,497989.90922145,544669.7023688899
2020-03-31,70997.359604,137992.07591786998,527111.48602782,573393.76012641
